N_PROF,N_LEVELS,CYCLE_NUMBER,DATA_MODE,DIRECTION,PLATFORM_NUMBER,POSITION_QC,PRES,PRES_ERROR,PRES_QC,PSAL,PSAL_ERROR,PSAL_QC,TEMP,TEMP_ERROR,TEMP_QC,TIME_QC,LATITUDE,LONGITUDE,TIME
177,0,169,D,A,5903888,1,4.21,2.4,1,35.35106,0.01,1,22.935,0.002,1,1,24.597,-145.045,2015-01-01 00:05:22
177,1,169,D,A,5903888,1,,2.4,1,,,1,,,1,1,24.597,-145.045,2015-01-01 00:05:22
177,2,169,D,A,5903888,1,,2.4,1,,,1,,,1,1,24.597,-145.045,2015-01-01 00:05:22
177,3,169,D,A,5903888,1,,2.4,1,,,1,,,1,1,24.597,-145.045,2015-01-01 00:05:22
177,4,169,D,A,5903888,1,,2.4,1,,,1,,,1,1,24.597,-145.045,2015-01-01 00:05:22
177,5,169,D,A,5903888,1,,2.4,1,,,1,,,1,1,24.597,-145.045,2015-01-01 00:05:22
177,6,169,D,A,5903888,1,,2.4,1,,,1,,,1,1,24.597,-145.045,2015-01-01 00:05:22
177,7,169,D,A,5903888,1,,2.4,1,,,1,,,1,1,24.597,-145.045,2015-01-01 00:05:22
177,8,169,D,A,5903888,1,,2.4,1,,,1,,,1,1,24.597,-145.045,2015-01-01 00:05:22
177,9,169,D,A,5903888,1,,2.4,1,,,1,,,1,1,24.597,-145.045,2015-01-01 00:05:22
177,10,169,D,A,5903888,1,,2.4,1,,,1,,,1,1,24.597,-145.045,2015-01-01 00:05:22
177,11,169,D,A,5903888,1,,2.4,1,,,1,,,1,1,24.597,-145.045,2015-01-01 00:05:22
177,12,169,D,A,5903888,1,,2.4,1,,,1,,,1,1,24.597,-145.045,2015-01-01 00:05:22
177,13,169,D,A,5903888,1,,2.4,1,,,1,,,1,1,24.597,-145.045,2015-01-01 00:05:22
177,14,169,D,A,5903888,1,,2.4,1,,,1,,,1,1,24.597,-145.045,2015-01-01 00:05:22
177,15,169,D,A,5903888,1,,2.4,1,,,1,,,1,1,24.597,-145.045,2015-01-01 00:05:22
177,16,169,D,A,5903888,1,,2.4,1,,,1,,,1,1,24.597,-145.045,2015-01-01 00:05:22
203,0,50,D,A,5904188,1,2.61,2.4,1,34.40489,0.01,1,10.531,0.002,1,1,-49.667,-139.067,2015-01-01 00:07:08
203,1,50,D,A,5904188,1,4.41,2.4,1,34.4049,0.01,1,10.532,0.002,1,1,-49.667,-139.067,2015-01-01 00:07:08
203,2,50,D,A,5904188,1,,2.4,1,,,1,,,1,1,-49.667,-139.067,2015-01-01 00:07:08
203,3,50,D,A,5904188,1,,2.4,1,,,1,,,1,1,-49.667,-139.067,2015-01-01 00:07:08
203,4,50,D,A,5904188,1,,2.4,1,,,1,,,1,1,-49.667,-139.067,2015-01-01 00:07:08
203,5,50,D,A,5904188,1,,2.4,1,,,1,,,1,1,-49.667,-139.067,2015-01-01 00:07:08
203,6,50,D,A,5904188,1,,2.4,1,,,1,,,1,1,-49.667,-139.067,2015-01-01 00:07:08
203,7,50,D,A,5904188,1,,2.4,1,,,1,,,1,1,-49.667,-139.067,2015-01-01 00:07:08
203,8,50,D,A,5904188,1,,2.4,1,,,1,,,1,1,-49.667,-139.067,2015-01-01 00:07:08
203,9,50,D,A,5904188,1,,2.4,1,,,1,,,1,1,-49.667,-139.067,2015-01-01 00:07:08
203,10,50,D,A,5904188,1,,2.4,1,,,1,,,1,1,-49.667,-139.067,2015-01-01 00:07:08
203,11,50,D,A,5904188,1,,2.4,1,,,1,,,1,1,-49.667,-139.067,2015-01-01 00:07:08
203,12,50,D,A,5904188,1,,2.4,1,,,1,,,1,1,-49.667,-139.067,2015-01-01 00:07:08
203,13,50,D,A,5904188,1,,2.4,1,,,1,,,1,1,-49.667,-139.067,2015-01-01 00:07:08
203,14,50,D,A,5904188,1,,2.4,1,,,1,,,1,1,-49.667,-139.067,2015-01-01 00:07:08
203,15,50,D,A,5904188,1,,2.4,1,,,1,,,1,1,-49.667,-139.067,2015-01-01 00:07:08
203,16,50,D,A,5904188,1,,2.4,1,,,1,,,1,1,-49.667,-139.067,2015-01-01 00:07:08
130,0,337,D,A,5900704,1,4.3,2.4,1,34.3581,0.01,1,11.982,0.002,1,1,-43.992,-37.982,2015-01-01 00:11:10
130,1,337,D,A,5900704,1,,2.4,1,,,1,,,1,1,-43.992,-37.982,2015-01-01 00:11:10
130,2,337,D,A,5900704,1,,2.4,1,,,1,,,1,1,-43.992,-37.982,2015-01-01 00:11:10
130,3,337,D,A,5900704,1,,2.4,1,,,1,,,1,1,-43.992,-37.982,2015-01-01 00:11:10
130,4,337,D,A,5900704,1,,2.4,1,,,1,,,1,1,-43.992,-37.982,2015-01-01 00:11:10
130,5,337,D,A,5900704,1,,2.4,1,,,1,,,1,1,-43.992,-37.982,2015-01-01 00:11:10
130,6,337,D,A,5900704,1,,2.4,1,,,1,,,1,1,-43.992,-37.982,2015-01-01 00:11:10
130,7,337,D,A,5900704,1,,2.4,1,,,1,,,1,1,-43.992,-37.982,2015-01-01 00:11:10
